field1,field2,field3,field4,field5,_CLEANADDR,FID_국토교통부_전국버스정류장위치정보_20231016_XYTableToPoint,정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
코레일,1호선,신창(순천향대),충남 아산시 신창면 행목리 346-46,충남 아산시 신창면 행목로 50,충청남도 아산시 행목로 50 (신창면),4609,ASB288001943,신창역,36.76978973,126.950054,2023-10-16,1943,34040,충청남도 아산시,아산
코레일,1호선,배방,충청남도 아산시 배방읍 구령리 148-2,충청남도 아산시 배방읍 온천대로 1967,충청남도 아산시 온천대로 1967 (배방읍),4796,ASB288010530,배방역,36.7773713,127.0535802,2023-10-16,10530,34040,충청남도 아산시,아산
코레일,1호선,탕정,,충남 아산시 탕정면 한들물빛6로 11,충청남도 아산시 한들물빛6로 11 (탕정면),5460,ASB288010797,탕정역,36.7888127,127.0852211,2023-10-16,10797,34040,충청남도 아산시,아산
코레일,1호선,쌍용(나사렛대),천안시 서북구 쌍용2동 426-3번지,충청남도 천안시 서북구 쌍용19로 20,충청남도 천안시 서북구 쌍용19로 20 (쌍용동),12092,CAB285071775,쌍용역(방아다리공원방면),36.793798,127.120947,2023-10-16,71775,34010,충청남도 천안시,천안
코레일,1호선,직산,충청남도 천안시 서북구 직산읍 모시리 58-11,충청남도 천안시 서북구 직산읍 천안대로 1471-33,충청남도 천안시 서북구 천안대로 1471-33 (직산읍),13416,CAB285002301,직산역,36.87106602,127.1445236,2023-10-16,2301,34010,충청남도 천안시,천안
코레일,1호선,성환,충청남도 천안시 서북구 성환읍 성환리 449-128,충청남도 천안시 서북구 성환읍 성환1로 237-5,충청남도 천안시 서북구 성환1로 237-5 (성환읍),2931,ASB285000098,성환역,36.9157435,127.1279309,2023-10-16,98,34040,충청남도 아산시,아산
코레일,1호선,평택,경기도 평택시 평택동 185-568,경기도 평택시 평택로 51,경기도 평택시 평택로 51 (평택동),67000,GGB214001436,평택역.AKPLAZA(제2승강장),36.9916667,127.0865333,2023-10-16,48453,31070,경기도 평택시,경기
코레일,1호선,평택지제,지제동 141-1,경기도 평택시 경기대로 777,경기도 평택시 경기대로 777 (지제동),69167,GGB214002018,평택지제역,37.0186167,127.0708833,2023-10-16,48880,31070,경기도 평택시,경기
코레일,1호선,서정리,경기도 평택시 서정동 427-53,경기도 평택시 탄현로51,경기도 평택시 탄현로 51 (서정동),67938,GGB214001696,서정리역,37.05705,127.0536333,2023-10-16,15038,31070,경기도 평택시,경기
코레일,1호선,송탄,경기도 평택시 신장동 257-5,경기도 평택시 송탄공원로 43,경기도 평택시 송탄공원로 43 (신장동),68543,GGB214001844,송탄역,37.07475,127.0535667,2023-10-16,48827,31070,경기도 평택시,경기
코레일,1호선,진위,경기도 평택시 진위면 하북리 139-3,경기도 평택시 진위면 경기대로 1855,경기도 평택시 경기대로 1855 (진위면),70341,GGB214000506,진위역,37.10975,127.0632667,2023-10-16,48129,31070,경기도 평택시,경기
코레일,1호선,오산,경기도 오산시 오산동 603-116,경기도 오산시 역광장로 59,경기도 오산시 역광장로 59 (오산동),82712,GGB223000539,오산역환승센터2층(1승강장),37.146,127.0666333,2023-10-16,24466,31140,경기도 오산시,경기
코레일,1호선,오산대,경기도 오산시 수청동 435-1,경기도 오산시 청학로 236,경기도 오산시 청학로 236 (수청동),82124,GGB223000369,오산대역후문,37.1693833,127.06375,2023-10-16,24321,31140,경기도 오산시,경기
코레일,1호선,세마,경기도 오산시 세교동 244-5,경기도 오산시 세마역로 88,경기도 오산시 세마역로 88 (세교동),81876,GGB223000345,세마역,37.1869167,127.0427167,2023-10-16,24316,31140,경기도 오산시,경기
코레일,1호선,서동탄,경기도 오산시 외삼미로 242,경기도 오산시 외삼미로 15번길 75-60,경기도 오산시 외삼미로15번길 75-60 (외삼미동),81852,GGB223000315,서동탄역,37.1961833,127.0518833,2023-10-16,24289,31140,경기도 오산시,경기
코레일,1호선,병점,경기도 화성시 진암동 824-1,경기도 화성시 떡전골로 97,경기도 화성시 떡전골로 97 (진안동),87963,GGB233002064,병점역.화성청년지원센터,37.2068333,127.0338333,2023-10-16,55034,31240,경기도 화성시,경기
코레일,1호선,세류,경기도 수원시 권선구 장지동 25-4,경기도 수원시 권선구 정조로 393-1(정자동 세류역사),경기도 수원시 권선구 정조로 393-1 (장지동),59488,GGB201000202,비행장입구.세류역,37.2444333,127.0143833,2023-10-16,2192,31010,경기도 수원시,경기
코레일,1호선,수원,경기도 수원시 팔달구 매산로1가 18,경기도 수원시 팔달구 덕영대로 944 924 애경백화점,경기도 수원시 팔달구 덕영대로 944 (매산로1가),59144,GGB202000105,수원역.AK플라자,37.2649167,127.00145,2023-10-16,3196,31010,경기도 수원시,경기
코레일,1호선,화서,경기도 수원시 팔달구 화서동 464,경기도 수원시 팔달구 덕영대로 692,경기도 수원시 팔달구 덕영대로 692 (화서동),58246,GGB202000090,화서역,37.2838667,126.9900667,2023-10-16,3176,31010,경기도 수원시,경기
코레일,1호선,성균관대,경기도 수원시 장안구 율전동 495-2,경기도 수원시 장안구 서부로 2149,경기도 수원시 장안구 서부로 2149 (율전동),55714,GGB200000161,성균관대역,37.2999333,126.9729,2023-10-16,1016,31010,경기도 수원시,경기
코레일,1호선,의왕,경기도 의왕시 삼동 191,경기도 의왕시 철도박물관로 66,경기도 의왕시 철도박물관로 66 (삼동),75503,GGB226000080,의왕역2번출구,37.3214167,126.9487,2023-10-16,27004,31170,경기도 의왕시,경기
코레일,1호선,당정,경기도 군포시 당정동 938번지,경기도 군포시 당정역로 91,경기도 군포시 당정역로 91 (당정동),81605,GGB225000313,당정역,37.3440667,126.94865,2023-10-16,26294,31160,경기도 군포시,경기
코레일,1호선,군포,경기도 군포시 당동 134-1,경기도 군포시 군포역1길 27,경기도 군포시 군포역1길 27 (당동),84042,GGB225000275,군포역2번출구,37.3533167,126.9497167,2023-10-16,26252,31160,경기도 군포시,경기
코레일,1호선,금정,경기도 군포시 금정동 613 금정역,경기도 군포시 군포로 750(금정동),경기도 군포시 군포로 750 (금정동),83733,GGB225000011,금정역,37.3716833,126.9433667,2023-10-16,26112,31160,경기도 군포시,경기
코레일,1호선,안양,경기도 안양시 만안구 안양동 88-1,경기도 안양시 만안구 만안로 232,경기도 안양시 만안구 만안로 232 (안양동),73730,GGB208000350,안양역후문,37.4018,126.92315,2023-10-16,9314,31040,경기도 안양시,경기
코레일,1호선,광명,경기도 광명시 일직동 276-1,경기도 광명시 광명역로 21,경기도 광명시 광명역로 21 (일직동),73312,GGB213000231,KTX광명역6번출구,37.4162833,126.8857167,2023-10-16,14220,31060,경기도 광명시,경기
코레일,1호선,관악,경기도 안양시 만악구 석수동 101-16,경기도 안양시 만안구 경수대로1273번길 46,경기도 안양시 만안구 경수대로1273번길 46 (석수동),72846,GGB208000092,관악역,37.4188333,126.9086833,2023-10-16,9078,31040,경기도 안양시,경기
코레일,1호선,석수,안양시 만안구 석수2동 423번지,경기도 안양시 만안구 경수대로 1431,경기도 안양시 만안구 경수대로 1431 (석수동),62093,GGB117000321,석수역1호선,37.4348667,126.9028167,2023-10-16,78004,11,서울특별시,경기
코레일,1호선,금천구청,서울특별시 금천구 시흥대로63길 91,서울특별시 금천구 시흥대로63길 91,서울특별시 금천구 시흥대로63길 91 (시흥동),62109,GGB117900016,금천구종합청사.금천구청역,37.4560333,126.8952667,2023-10-16,18808,11,서울특별시,경기
코레일,1호선,주안,인천광역시 남구 주안동 125,인천광역시 남구 주안로 95-19,인천광역시 미추홀구 주안로 95-19 (주안동),109176,ICB163000503,주안역환승정류장,37.464545,126.680214,2023-10-16,37503,23,인천광역시,인천
코레일,1호선,도화,도화동 668,인천광역시 미추홀구 숙골로 24번길 9,인천광역시 미추홀구 숙골로24번길 9 (도화동),108827,ICB163000372,쑥골고가교,37.464788,126.668693,2023-10-16,37372,23,인천광역시,인천
코레일,1호선,간석,인천광역시 남동구 간석4동 762번지,인천광역시 남동구 석정로 522-14,인천광역시 남동구 석정로 522-14 (간석동),109598,ICB165000807,간석북부역,37.465288,126.69365,2023-10-16,39807,23,인천광역시,인천
코레일,1호선,독산,서울특별시 금천구 가산동 717,서울특별시 금천구 벚꽃로115,서울특별시 금천구 벚꽃로 115 (가산동),62077,GGB117000182,독산역,37.4665167,126.8878333,2023-10-16,18644,11,서울특별시,경기
코레일,1호선,도원,인천광역시 동구 창영동 179-1번지,인천광역시 동구 참외전로 245번지,인천광역시 동구 참외전로 245 (창영동),109206,ICB163000549,도원역(인천축구전용경기장),37.468124,126.643224,2023-10-16,37549,23,인천광역시,인천
코레일,1호선,동암,인천 부평구 십정2동474-1,인천부평구 동암광장로 10,인천광역시 부평구 동암광장로 10 (십정동),108263,ICB166000861,동암남부역,37.471417,126.703296,2023-10-16,40861,23,인천광역시,인천
코레일,1호선,동인천,인천광역시 중구 인현동 1-613,인천광역시 중구 참외전로 121,인천광역시 중구 참외전로 121 (인현동),109764,ICB161000191,동인천역,37.475938,126.631084,2023-10-16,35191,23,인천광역시,인천
코레일,1호선,인천,인천광역시 중구,인천광역시 중구 제물량로 269,인천광역시 중구 제물량로 269 (북성동1가),109751,ICB161000178,인천역(차이나타운),37.476278,126.617296,2023-10-16,35178,23,인천광역시,인천
코레일,1호선,가산디지털단지,서울특별시 금천구 가산동 468-4,서울특별시 금천구 벚꽃로 309,서울특별시 금천구 벚꽃로 309 (가산동),62082,GGB117000299,가산디지털단지역,37.4812333,126.8829667,2023-10-16,18779,11,서울특별시,경기
코레일,1호선,소사,경기도 부천시 소사구 소사본동 395,경기도 부천시 소사구 경인로 363,경기도 부천시 소사구 경인로 363 (소사본동),73829,GGB211000001,소사역2번출구,37.4827333,126.7951833,2023-10-16,12077,31050,경기도 부천시,경기
코레일,1호선,백운,인천광역시 부평구 십정동 541-1,인천광역시 부평구 마장로 55번길 14,인천광역시 부평구 마장로55번길 14 (십정동),107193,ICB166000716,백운역,37.48421,126.707524,2023-10-16,40716,23,인천광역시,인천
